City Id,State,State Abbreviation,Municipality,Link
174,Indiana,IN,West Lafayette,https://www.hrc.org/resources/municipalities/west-lafayette-in-3
175,Iowa,IA,Ames,https://www.hrc.org/resources/municipalities/ames-ia-3
176,Iowa,IA,Cedar Rapids,https://www.hrc.org/resources/municipalities/cedar-rapids-ia-3
177,Iowa,IA,Davenport,https://www.hrc.org/resources/municipalities/davenport-ia-3
178,Iowa,IA,Des Moines,https://www.hrc.org/resources/municipalities/des-moines-ia-3
179,Iowa,IA,Dubuque,https://www.hrc.org/resources/municipalities/dubuque-ia-3
180,Iowa,IA,Iowa City,https://www.hrc.org/resources/municipalities/iowa-city-ia-3
181,Iowa,IA,Sioux City,https://www.hrc.org/resources/municipalities/sioux-city-ia-3
182,Iowa,IA,Waterloo,https://www.hrc.org/resources/municipalities/waterloo-ia-3
183,Iowa,IA,West Des Moines,https://www.hrc.org/resources/municipalities/west-des-moines-ia-3
184,Kansas,KS,Emporia,https://www.hrc.org/resources/municipalities/emporia-ks-3
185,Kansas,KS,Hutchinson,https://www.hrc.org/resources/municipalities/hutchinson-ks-3
186,Kansas,KS,Kansas City,https://www.hrc.org/resources/municipalities/kansas-city-ks-3
187,Kansas,KS,Lawrence,https://www.hrc.org/resources/municipalities/lawrence-ks-3
188,Kansas,KS,Manhattan,https://www.hrc.org/resources/municipalities/manhattan-ks-3
189,Kansas,KS,Olathe,https://www.hrc.org/resources/municipalities/olathe-ks-3
190,Kansas,KS,Overland Park,https://www.hrc.org/resources/municipalities/overland-park-ks-3
191,Kansas,KS,Topeka,https://www.hrc.org/resources/municipalities/topeka-ks-3
192,Kansas,KS,Wichita,https://www.hrc.org/resources/municipalities/wichita-ks-3
193,Kentucky,KY,Berea,https://www.hrc.org/resources/municipalities/berea-ky-3
194,Kentucky,KY,Bowling Green,https://www.hrc.org/resources/municipalities/bowling-green-ky-3
195,Kentucky,KY,Covington,https://www.hrc.org/resources/municipalities/covington-ky-3
196,Kentucky,KY,Frankfort,https://www.hrc.org/resources/municipalities/frankfort-ky-3
197,Kentucky,KY,Lexington,https://www.hrc.org/resources/municipalities/lexington-ky-3
198,Kentucky,KY,Louisville,https://www.hrc.org/resources/municipalities/louisville-ky-3
199,Kentucky,KY,Morehead,https://www.hrc.org/resources/municipalities/morehead-ky-3
200,Kentucky,KY,Owensboro,https://www.hrc.org/resources/municipalities/owensboro-ky-3
201,Louisiana,LA,Alexandria,https://www.hrc.org/resources/municipalities/alexandria-la-3
202,Louisiana,LA,Baton Rouge,https://www.hrc.org/resources/municipalities/baton-rouge-la-3
203,Louisiana,LA,Lafayette,https://www.hrc.org/resources/municipalities/lafayette-la-3
204,Louisiana,LA,Lake Charles,https://www.hrc.org/resources/municipalities/lake-charles-la-3
205,Louisiana,LA,Metairie,https://www.hrc.org/resources/municipalities/metairie-la-3
206,Louisiana,LA,Monroe,https://www.hrc.org/resources/municipalities/monroe-la-3
207,Louisiana,LA,New Orleans,https://www.hrc.org/resources/municipalities/new-orleans-la-3
208,Louisiana,LA,Shreveport,https://www.hrc.org/resources/municipalities/shreveport-la-3
209,Maine,ME,Auburn,https://www.hrc.org/resources/municipalities/auburn-me-3
210,Maine,ME,Augusta,https://www.hrc.org/resources/municipalities/augusta-me-3
211,Maine,ME,Bangor,https://www.hrc.org/resources/municipalities/bangor-me-3
212,Maine,ME,Brunswick,https://www.hrc.org/resources/municipalities/brunswick-me-3
213,Maine,ME,Lewiston,https://www.hrc.org/resources/municipalities/lewiston-me-3
214,Maine,ME,Orono,https://www.hrc.org/resources/municipalities/orono-me-3
215,Maine,ME,Portland,https://www.hrc.org/resources/municipalities/portland-me-3
216,Maine,ME,Scarborough,https://www.hrc.org/resources/municipalities/scarborough-me-3
