Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
63,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
64,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
65,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
66,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,5
67,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,5
68,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
69,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
70,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,1
71,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
72,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
73,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
74,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,7
75,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,7
76,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,1
77,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,3
78,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,3
79,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,30,Municipality as Employer,Inclusive Workplace,City,NA,2
80,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,1
81,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,32,Municipal Services,Human Rights Commission,County,NA,0
82,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,33,Municipal Services,Human Rights Commission,City,NA,5
83,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
84,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,2
85,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,5
86,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
87,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
88,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,2
89,2,Birmingham,AL,https://www.hrc.org/resources/municipalities/birmingham-al-3,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,2
