City Id,City,State,Non-Discrimination Laws,Municipality as Employer,Municipal Services,Law Enforcement,Leadership on LGBTQ+ Equality,Flex Points,Total Score
80,Santa Ana,CA,30,26,5,12,6,6,85
81,Santa Clarita,CA,30,13,10,12,0,6,71
82,Santa Monica,CA,30,28,10,22,8,2,100
83,Santa Rosa,CA,30,26,7,12,1,5,81
84,Signal Hill,CA,30,26,5,22,5,9,97
85,Stockton,CA,30,20,0,22,4,5,81
86,Sunnyvale,CA,30,20,12,12,4,16,94
87,Thousand Oaks,CA,30,23,0,12,0,5,70
88,Torrance,CA,30,20,5,12,1,6,74
89,Vallejo,CA,30,23,7,12,6,7,85
90,Visalia,CA,30,22,5,22,4,7,90
91,West Hollywood,CA,30,28,12,12,8,10,100
92,Aspen,CO,30,28,0,22,7,13,100
93,Aurora,CO,30,20,5,12,1,9,77
94,Boulder,CO,30,28,12,22,8,0,100
95,Colorado Springs,CO,30,26,5,22,4,13,100
96,Denver,CO,30,26,12,22,8,2,100
97,Fort Collins,CO,30,28,7,12,8,15,100
98,Lakewood,CO,30,14,0,12,0,6,62
99,Littleton,CO,30,28,0,12,4,12,86
100,Bridgeport,CT,24,0,0,12,4,2,42
101,Fairfield,CT,24,14,0,12,0,2,52
102,Hartford,CT,30,22,10,22,5,11,100
103,New Britain,CT,30,14,7,22,7,8,88
104,New Haven,CT,30,28,12,22,8,0,100
105,Norwalk,CT,30,22,7,22,5,14,100
106,Stamford,CT,24,28,12,22,8,6,100
107,Storrs Mansfield,CT,24,14,5,12,4,6,65
108,Waterbury,CT,24,20,7,12,1,4,68
109,Bethany Beach,DE,30,7,0,12,0,2,51
110,Dover,DE,30,17,5,12,0,2,66
111,Middletown,DE,30,0,0,0,0,2,32
112,Milford,DE,30,20,5,22,4,4,85
113,Newark,DE,30,20,5,12,2,2,71
114,Rehoboth Beach,DE,30,14,0,12,1,4,61
115,Smyrna,DE,30,14,0,12,0,3,59
116,Wilmington,DE,30,17,12,12,6,10,87
117,Cape Coral,FL,27,15,0,12,1,1,56
118,Coral Gables,FL,30,21,12,22,6,9,100
119,Daytona Beach,FL,30,0,0,12,0,24,66
120,Fort Lauderdale,FL,30,23,12,22,8,5,100
121,Gainesville,FL,30,17,12,12,8,21,100
122,Hialeah,FL,30,7,7,12,0,24,80
123,Hollywood,FL,30,23,12,22,6,7,100
124,Jacksonville,FL,30,14,7,12,6,23,92
125,Miami Shores,FL,30,21,12,22,6,9,100
126,Miami,FL,30,23,12,22,8,5,100
127,Oakland Park,FL,30,22,12,22,8,6,100
128,Orlando,FL,30,23,12,22,8,5,100
129,Pembroke Pines,FL,30,20,12,12,3,23,100
130,Port Saint Lucie,FL,27,16,5,22,2,0,72
131,St. Petersburg,FL,30,23,10,22,8,7,100
132,Tallahassee,FL,30,21,10,22,4,13,100
133,Tampa,FL,30,23,12,22,7,6,100
134,Wilton Manors,FL,30,23,12,22,8,5,100
135,Athens Clarke County,GA,30,0,5,0,0,0,35
136,Atlanta,GA,30,23,12,22,8,5,100
137,Augusta Richmond County,GA,30,0,5,0,0,0,35
138,Avondale Estates,GA,30,14,0,0,3,2,49
139,Columbus,GA,0,22,10,22,6,0,60
140,Decatur,GA,30,23,10,22,5,10,100
141,North Druid Hills Dekalb County,GA,30,0,0,0,0,0,30
142,Roswell,GA,0,0,0,0,0,0,0
143,Sandy Springs,GA,0,14,0,12,3,0,29
144,Savannah,GA,30,22,5,10,8,5,80
145,Hawaii County,HI,28,0,0,0,0,2,30
146,Honolulu County,HI,30,0,0,0,0,21,51
147,Kalawao County,HI,28,0,0,0,0,2,30
148,Kauai County,HI,28,0,0,0,0,2,30
149,Maui County,HI,28,0,0,0,0,2,30
150,Boise,ID,30,23,0,22,6,19,100
151,Coeur Dalene,ID,27,14,0,12,2,0,55
152,Idaho Falls,ID,24,14,0,12,3,0,53
153,Meridian,ID,22,14,0,12,1,0,49
154,Moscow,ID,24,14,5,12,3,1,59
155,Nampa,ID,0,0,0,12,0,0,12
156,Pocatello,ID,30,14,5,12,1,2,64
157,Aurora,IL,30,26,12,22,7,3,100
158,Carbondale,IL,30,14,10,0,8,11,73
159,Champaign,IL,30,22,12,22,6,8,100
160,Chicago,IL,30,26,12,22,8,2,100
161,Joliet,IL,30,7,5,22,2,4,70
162,Naperville,IL,30,22,12,22,4,10,100
163,Peoria,IL,30,18,0,12,3,37,100
164,Rockford,IL,30,28,10,22,7,3,100
165,Springfield,IL,30,28,12,22,7,1,100
166,Bloomington,IN,30,23,12,22,8,5,100
167,Evansville,IN,30,20,12,22,7,9,100
168,Fort Wayne,IN,15,10,7,12,1,0,45
169,Hammond,IN,30,14,7,12,5,0,68
170,Indianapolis,IN,30,20,7,12,8,23,100
171,Muncie,IN,30,14,7,12,7,0,70
172,South Bend,IN,28,20,7,12,7,0,74
173,Terre Haute,IN,30,20,12,22,5,8,97
174,West Lafayette,IN,30,21,12,12,6,19,100
175,Ames,IA,30,23,10,22,6,9,100
176,Cedar Rapids,IA,30,23,12,22,8,5,100
177,Davenport,IA,30,21,12,22,5,10,100
178,Des Moines,IA,30,23,12,22,8,5,100
179,Dubuque,IA,30,17,12,22,7,12,100
180,Iowa City,IA,30,23,12,22,8,5,100
181,Sioux City,IA,30,20,7,22,5,16,100
182,Waterloo,IA,30,14,12,22,1,21,100
183,West Des Moines,IA,24,23,10,22,8,10,97
184,Emporia,KS,30,20,7,0,0,27,84
185,Hutchinson,KS,30,14,10,12,0,2,68
186,Kansas City,KS,30,16,5,10,6,33,100
187,Lawrence,KS,30,28,12,22,8,0,100
188,Manhattan,KS,30,14,5,22,7,22,100
189,Olathe,KS,30,14,10,12,0,25,91
190,Overland Park,KS,30,28,5,17,8,12,100
191,Topeka,KS,30,23,10,22,8,7,100
192,Wichita,KS,30,28,5,22,5,10,100
193,Berea,KY,30,14,5,12,4,2,67
194,Bowling Green,KY,30,0,7,12,2,0,51
195,Covington,KY,30,22,12,22,8,6,100
196,Frankfort,KY,30,14,7,12,3,30,96
197,Lexington,KY,30,23,12,22,8,5,100
198,Louisville,KY,30,23,12,22,8,5,100
199,Morehead,KY,30,14,7,12,1,26,90
200,Owensboro,KY,30,0,7,12,1,0,50
201,Alexandria,LA,0,0,12,22,2,0,36
202,Baton Rouge,LA,0,14,0,22,2,4,42
203,Lafayette,LA,0,14,0,0,0,0,14
204,Lake Charles,LA,0,0,0,12,0,0,12
205,Metairie,LA,0,0,0,0,0,0,0
206,Monroe,LA,0,0,0,12,0,0,12
207,New Orleans,LA,28,21,12,22,6,5,94
208,Shreveport,LA,30,22,7,0,3,0,62
209,Auburn,ME,30,22,0,12,2,9,75
210,Augusta,ME,30,14,0,12,2,4,62
211,Bangor,ME,30,20,5,12,3,30,100
212,Brunswick,ME,30,14,0,12,0,8,64
213,Lewiston,ME,30,16,5,12,1,36,100
214,Orono,ME,30,7,0,0,0,16,53
215,Portland,ME,30,28,5,22,8,7,100
216,Scarborough,ME,30,14,0,12,0,15,71
217,South Portland,ME,30,14,5,12,7,17,85
218,Billings,MT,0,0,5,12,0,0,17
219,Bozeman,MT,30,23,5,12,8,7,85
220,Butte Silver Bow,MT,30,7,0,12,0,32,81
221,Great Falls,MT,0,1,0,12,1,0,14
222,Helena,MT,30,14,0,12,2,0,58
223,Kalispell,MT,0,1,0,12,0,0,13
224,Missoula,MT,30,21,0,22,6,12,91
225,Whitefish,MT,30,14,0,12,5,1,62
226,Bellevue,NE,20,14,0,12,0,0,46
227,Fremont,NE,20,0,0,12,0,0,32
228,Grand Island,NE,20,14,0,12,1,0,47
229,Kearney,NE,20,0,0,12,0,0,32
230,Lincoln,NE,20,17,7,22,8,6,80
231,North Platte,NE,20,0,0,12,0,0,32
232,Omaha,NE,30,23,12,22,6,7,100
233,Carson City,NV,28,20,0,12,0,4,64
234,Elko,NV,28,6,0,12,0,4,50
235,Enterprise Clark County,NV,28,0,0,0,0,6,34
236,Henderson,NV,28,22,5,22,6,12,95
237,Las Vegas,NV,28,28,5,22,7,10,100
238,Mesquite,NV,28,20,0,12,1,4,65
239,North Las Vegas,NV,28,14,0,12,0,4,58
240,Paradise Clark County,NV,28,0,0,0,0,6,34
241,Reno,NV,28,28,10,22,8,4,100
242,Sparks,NV,28,26,0,12,2,4,72
243,Concord,NH,30,23,0,12,0,4,69
244,Derry,NH,30,14,0,0,0,2,46
245,Dover,NH,30,14,0,22,5,6,77
246,Durham,NH,30,17,12,22,8,4,93
247,Keene,NH,30,20,5,12,3,2,72
248,Manchester,NH,30,20,0,22,6,4,82
249,Nashua,NH,30,18,0,12,4,8,72
250,Plymouth,NH,30,0,0,0,0,2,32
251,Portsmouth,NH,30,23,5,22,6,10,96
252,Rochester,NH,30,7,0,12,0,2,51
253,Asbury Park,NJ,30,28,7,22,7,6,100
254,Elizabeth,NJ,30,20,12,12,2,6,82
255,Hoboken,NJ,30,28,10,22,8,2,100
